X,Y,Z,X,Y,Z,X,Y,Z
0.0000, 0.0000, 0.0000,0.0000, 0.0000, 0.0000,0.0000, 0.0000, 0.0000
59.6948, -140649.2000, 9249.9990,255.2208, 4850.1160, -442.0553,-169.3836, -4354.2520, -318.5643
-62.3606, -140665.3000, 8499.9990,641.7913, 12058.7100, -1111.6150,-435.2501, -11487.2200, -818.5865
-62.1355, -140781.6000, 20000.0000,313.3541, 6151.9890, -542.7451,-279.9572, -7748.0050, -526.5231
13.3641, -125422.3000, 23250.0000,271.4597, 5148.6490, -470.1818,-169.4236, -4762.5160, -318.6395
62.7227, -141723.2000, 24250.0000,319.0036, 5968.3150, -552.5305,-171.7396, -4753.7090, -322.9953
-58.2655, -142758.5000, 24000.0000,323.3686, 6084.3890, -560.0908,-176.7474, -4825.7350, -332.4136
145.8361, -128290.2000, 21000.0000,306.8509, 5837.8140, -531.4813,-170.8538, -4566.2760, -321.3293
152.7896, -130272.6000, 15250.0000,286.0991, 5521.8810, -495.5381,-161.8398, -4184.0960, -304.3766
32.4898, -132982.1000, 8749.9990,263.4813, 5175.9700, -456.3629,-153.5103, -3801.6820, -288.7108
97.0319, -153661.2000, 1250.0000,237.3887, 4782.5360, -411.1693,-147.0117, -3451.8450, -276.4890
54.1074, -141299.7000, -6750.0000,207.4239, 4340.0990, -359.2686,-141.9720, -3123.3040, -267.0104
214.2326, -147394.0000, -14750.0000,172.0622, 3851.0600, -298.0204,-139.4287, -2821.1090, -262.2272
8.2347, -174640.0000, -21000.0000,135.5998, 3358.8440, -234.8657,-138.3362, -2532.8680, -260.1726
119.5013, -165332.0000, 18500.0000,78.2404, 2611.8130, -135.5163,-140.8596, -2280.3670, -264.9184
67.3218, -200697.8000, 135250.0000,88.6068, 3056.8380, -153.4714,-171.1583, -2776.9570, -321.9020
111.2116, -195499.3000, 147500.0000,183.7186, 4860.2320, -318.2099,-221.8578, -3913.1060, -417.2538
-36.5058, -245509.6000, 138500.0000,195.2111, 5612.3000, -338.1154,-271.9062, -4589.8980, -511.3810
144.9995, -280273.8000, 92999.9900,170.0432, 5680.6850, -294.5234,-300.1429, -4704.9410, -564.4866
227.5990, -292430.2000, 51500.0000,150.8762, 5427.8900, -261.3253,-294.8081, -4381.8130, -554.4534
-92.8983, -400093.9000, 21000.0000,132.5397, 4999.6490, -229.5654,-276.0185, -3865.2670, -519.1152
46.7623, -509899.0000, 9499.9990,114.2621, 4523.7090, -197.9077,-253.4650, -3304.8590, -476.6982
477.7662, -616346.2000, 4500.0000,83.7722, 4234.3820, -145.0976,-258.4178, -3021.9760, -486.0132
199.5839, -1038073.0000, 7000.0000,43.1611, 4079.8210, -74.7572,-281.1346, -2801.2170, -528.7373
-445.4090, -1820211.0000, 8999.9990,-23.6120, 3874.2280, 40.8972,-314.2254, -2295.0260, -590.9720
925.7435, -3872278.0000, 999.9999,-205.2930, 3730.2780, 355.5779,-439.1475, -1582.2340, -825.9162
-609.8213, -26494930.0000, -939999.9000,-226.1881, 6992.3510, 391.7694,-600.0303, -84.9739, -1128.4930
-922.9186, -76612980.0000, -24000.0000,-436.0690, -8803.5580, 755.2935,347.8522, 11788.6900, 654.2151
-1314.5710, -4440950.0000, 837999.9000,-2866.7490, -50944.7700, 4965.3550,1286.7080, 37622.8600, 2419.9470
-25.6147, -1367981.0000, 674999.9000,-407.6691, -4849.3400, 706.1036,221.0902, 12676.3000, 415.8105
-23.0784, -704561.1000, -58500.0000,16.1231, 1095.5350, -27.9259,-230.5577, -4547.7130, -433.6159
275.0252, -388669.3000, -44500.0000,6.8921, 91.4627, -11.9375,-164.8057, -4574.3220, -309.9544
-56.7262, -239107.6000, -10500.0000,-4.6065, 269.8736, 7.9786,-85.3741, -1385.4320, -160.5652
-109.9165, -158049.7000, -1500.0000,-15.5445, 233.1444, 26.9239,-65.7455, -611.8135, -123.6493
-139.2460, -97724.2600, -3500.0000,-10.0752, 244.4727, 17.4508,-58.5766, -769.2203, -110.1665
-114.9977, -79453.9900, -6250.0000,-2.5321, 288.8378, 4.3857,-48.9405, -864.8718, -92.0438
-25.7751, -59156.7600, -7875.0000,3.6293, 355.7175, -6.2862,-39.4624, -843.6373, -74.2180
-88.8121, -45110.8000, -9374.9990,8.7960, 443.0872, -15.2351,-33.0592, -816.8882, -62.1753
31.5389, -35081.1400, -11375.0000,11.1528, 475.0158, -19.3172,-27.0905, -800.3997, -50.9499
-71.4307, -24654.5600, -13625.0000,12.6328, 501.0700, -21.8807,-21.8176, -801.8574, -41.0329
-41.2649, -22238.2300, -15875.0000,13.4517, 523.6262, -23.2990,-17.5813, -812.9486, -33.0656
-40.9105, -18047.7700, -18187.5000,13.9450, 549.7929, -24.1535,-14.1167, -827.1157, -26.5497
12.7449, -14802.2300, -20562.5000,13.3764, 564.5333, -23.1685,-11.4830, -844.4517, -21.5963
28.4584, -12254.6700, -23125.0000,13.6123, 599.4896, -23.5771,-9.0020, -844.8522, -16.9303
-31.5958, -10231.6500, -25500.0000,13.0688, 617.4468, -22.6357,-6.4336, -830.1365, -12.1000
17.1020, -8605.1270, -28125.0000,10.1468, 585.7733, -17.5748,-4.1143, -833.4399, -7.7378
9.6939, -6477.3300, -30687.5000,5.9066, 535.8865, -10.2306,-2.0670, -854.1391, -3.8876
33.6506, -6208.2230, -33312.5000,1.9846, 489.9373, -3.4374,-0.3959, -882.0749, -0.7446
-49.8136, -4730.2200, -35812.5000,-2.0454, 450.0370, 3.5428,1.0614, -918.0032, 1.9963
-35.1181, -4073.9190, -38343.7500,-5.8388, 413.5839, 10.1131,2.3919, -965.1255, 4.4984
-9.6127, -3525.0320, -40812.5000,-9.2342, 385.1572, 15.9941,3.7756, -1028.5610, 7.1008
-2.0030, -3063.9020, -43218.7500,-12.4674, 366.6233, 21.5941,4.9804, -1112.2770, 9.3668
-5.9127, -3008.6450, -45593.7500,-14.9616, 361.7818, 25.9142,6.4273, -1220.7540, 12.0879
-9.5078, -2343.3910, -48000.0000,-16.7952, 371.9933, 29.0901,7.8383, -1354.3920, 14.7417
-10.0333, -2318.2560, -50468.7500,-18.1230, 396.9023, 31.3899,9.5536, -1513.1230, 17.9677
1.2540, -1817.8200, -53000.0000,-19.1064, 434.7807, 33.0932,11.5727, -1695.3210, 21.7650
13.6306, -1809.6060, -55906.2500,-19.9067, 482.8387, 34.4794,13.8924, -1898.2550, 26.1278
8.2798, -1428.1360, -59187.5000,-20.7235, 539.3582, 35.8941,16.5621, -2118.0750, 31.1488
-21.3151, -1431.8310, -62968.7500,-21.8208, 601.6253, 37.7947,19.6567, -2349.9500, 36.9687
-6.6146, -1277.6700, -67312.4900,-23.1959, 667.2231, 40.1766,23.1245, -2588.2680, 43.4908
-2.6211, -1143.3930, -72249.9900,-25.3431, 731.9679, 43.8955,27.2150, -2826.6720, 51.1840
0.7066, -1025.7730, -77796.8700,-28.0474, 792.6251, 48.5795,31.7042, -3058.8540, 59.6269
3.4732, -922.5270, -83921.8700,-31.7686, 845.8711, 55.0249,37.4543, -3276.2070, 70.4412
-5.7456, -739.9744, -90609.3700,-36.4258, 888.4512, 63.0914,43.6461, -3481.9060, 82.0863
7.6629, -751.6403, -97703.1200,-41.9257, 919.1583, 72.6175,50.5857, -3670.7790, 95.1378
-14.8301, -606.8340, -105187.5000,-48.1652, 936.5895, 83.4247,58.3273, -3840.7230, 109.6975
1.9483, -618.8707, -112968.7000,-54.6138, 941.2424, 94.5940,66.6090, -3991.6930, 125.2733
-8.7642, -501.5795, -120953.1000,-61.8811, 933.2550, 107.1811,75.7207, -4124.7730, 142.4099
5.2820, -513.7527, -129125.0000,-69.1678, 913.9999, 119.8022,85.4543, -4240.2960, 160.7160
6.5622, -469.6322, -137453.1000,-76.7369, 884.5580, 132.9122,95.8730, -4340.6960, 180.3107
-4.2437, -431.2472, -145875.0000,-84.4801, 845.8928, 146.3239,106.8085, -4427.5400, 200.8775
3.0794, -395.4069, -154421.9000,-92.1317, 800.0217, 159.5769,118.3373, -4501.9910, 222.5600
4.2618, -363.7098, -163046.9000,-99.7431, 748.2301, 172.7602,130.4401, -4566.4840, 245.3221
-7.6283, -299.1822, -171750.0000,-107.1327, 691.8292, 185.5593,142.8145, -4622.0540, 268.5950
-10.1794, -276.7447, -180523.4000,-114.3650, 632.3370, 198.0861,155.7828, -4670.3440, 292.9847
-8.3544, -256.0703, -189382.8000,-121.3552, 571.6208, 210.1933,169.0668, -4712.9430, 317.9684
-6.7408, -237.3649, -198281.2000,-127.7833, 510.5598, 221.3273,182.7538, -4750.5610, 343.7097
1.2241, -247.1238, -207273.4000,-134.0350, 450.7266, 232.1553,196.6438, -4783.2770, 369.8330
-4.0469, -205.0099, -216304.7000,-139.7948, 392.3118, 242.1317,210.9005, -4812.3300, 396.6461
-2.9246, -190.9998, -225382.8000,-144.9802, 336.0051, 251.1131,225.4046, -4837.3250, 423.9244
0.8066, -177.8763, -234523.4000,-149.9407, 280.4735, 259.7050,240.0643, -4859.1280, 451.4952
-8.7070, -167.6017, -243742.2000,-154.4090, 225.9187, 267.4443,254.9948, -4878.4110, 479.5755
-7.4254, -156.9077, -253031.2000,-158.7721, 170.6325, 275.0014,270.0508, -4896.5840, 507.8915
0.7775, -164.3742, -262398.4000,-162.9151, 110.5218, 282.1773,-2419.6580, -2134.7700, -4550.7140
1.4605, -154.2961, -271875.0000,-167.7313, 13.5178, 290.5192,-5576.9430, 973.3837, -10488.7000
2.0679, -145.0358, -281437.5000,-173.1488, -129.7686, 299.9026,-4224.9850, -649.7836, -7946.0390
0.2572, -121.6725, -291132.8000,-178.3567, -277.6085, 308.9229,-2430.5750, -2699.5630, -4571.2460
0.8047, -114.6826, -300953.1000,-182.8612, -409.7122, 316.7249,-2197.4080, -3118.8680, -4132.7240
1.2957, -108.2315, -310906.2000,-187.0006, -526.8873, 323.8945,-2643.2450, -2820.9240, -4971.2180
-1.3750, -102.8100, -320992.2000,-190.6968, -639.6762, 330.2965,-3099.0010, -2510.5310, -5828.3720
-1.6456, -109.5699, -331195.3000,-194.2590, -753.7363, 336.4664,-3392.1270, -2367.4710, -6379.6620
-0.2960, -92.1525, -341515.6000,-197.4434, -868.3381, 341.9819,-3591.7540, -2319.1700, -6755.1040
0.1696, -87.3964, -351953.1000,-200.5475, -982.0133, 347.3585,-3776.0540, -2282.7670, -7101.7220
-2.4606, -93.9596, -362500.0000,-203.0755, -1095.5050, 351.7372,-3970.2290, -2233.8630, -7466.9130
-6.1496, -80.2959, -373152.3000,-206.5914, -1175.5510, 357.8268,-4161.3280, -2178.5100, -7826.3160
-3.1898, -75.9709, -383894.5000,-224.4088, -1193.8890, 388.6873,-4311.3500, -2143.7820, -8108.4680
-0.8361, -80.9756, -394734.3000,-223.1348, -1185.3960, 386.4809,-4414.6380, -2143.8240, -8302.7240
-4.2053, -69.4764, -405671.8000,-236.7029, -1121.7570, 409.9814,-4465.6340, -2180.6340, -8398.6350
0.0333, -73.7055, -416714.8000,-217.2199, -1111.7580, 376.2359,-4502.2450, -2238.4160, -8467.4890
-1.2856, -62.9744, -427867.2000,-221.9922, -1094.4760, 384.5018,-4551.0300, -2288.9820, -8559.2420
-1.0117, -67.7621, -439144.5000,-221.9220, -1090.2170, 384.3803,-4604.9100, -2329.6320, -8660.5720
-0.6105, -64.8715, -450535.1000,-221.9895, -1100.7870, 384.4971,-4649.7300, -2369.8960, -8744.8680
-1.8399, -55.6530, -462035.1000,-222.5783, -1125.0660, 385.5170,-4681.1300, -2416.5390, -8803.9210
1.6608, -59.2207, -473648.4000,-223.4142, -1161.2680, 386.9648,-4701.0980, -2467.7160, -8841.4780
0.4203, -57.2196, -485367.2000,-224.5672, -1208.3140, 388.9618,-4712.7700, -2521.2020, -8863.4290
-2.2299, -49.6162, -497195.3000,-226.0159, -1264.4060, 391.4709,-4718.4460, -2573.7080, -8874.1040
-1.8732, -47.7184, -509117.2000,-227.7706, -1328.0130, 394.5102,-4718.2470, -2626.0970, -8873.7290
-1.5406, -45.9297, -521132.8000,-229.3772, -1397.3920, 397.2928,-4713.4340, -2676.6880, -8864.6770
-2.3368, -50.0419, -533226.5000,-231.1218, -1470.2530, 400.3146,-4704.1140, -2725.6210, -8847.1480
-0.9402, -42.6501, -545406.2000,-232.6328, -1545.0800, 402.9319,-4692.0980, -2771.6660, -8824.5480
-3.0237, -41.8398, -557656.2000,-234.1097, -1619.3140, 405.4899,-4678.1140, -2813.1640, -8798.2520
0.9512, -44.2620, -569972.6000,-235.1143, -1691.2350, 407.2299,-4662.9100, -2851.4620, -8769.6560
1.1681, -42.7548, -582347.6000,-235.8154, -1759.1270, 408.4443,-4647.8060, -2884.1760, -8741.2490
0.0454, -37.1042, -594781.2000,-236.1361, -1821.6430, 408.9997,-4633.2500, -2911.0420, -8713.8710
0.2545, -35.8974, -607269.5000,-236.0257, -1877.3040, 408.8085,-4620.1830, -2932.1360, -8689.2970
-0.2317, -39.3390, -619804.6000,-235.3164, -1924.8860, 407.5800,-4609.2470, -2946.3710, -8668.7310
1.9062, -37.4794, -632386.7000,-234.1537, -1964.1820, 405.5661,-4600.1930, -2954.4940, -8651.7030
2.0631, -36.3257, -645011.7000,-232.7500, -1994.6060, 403.1348,-4593.8970, -2955.7840, -8639.8620
-0.8122, -32.2779, -657687.4000,-230.8888, -2016.4660, 399.9110,-4590.1660, -2950.0120, -8632.8450
-0.6123, -31.3856, -669769.5000,-228.8406, -2029.0790, 396.3636,-4585.5650, -2942.8370, -8624.1910
2.4739, -33.2462, -682531.2000,-226.1795, -2034.8620, 391.7543,-4593.0540, -2918.0650, -8638.2740
2.5975, -32.3017, -695320.3000,-223.6510, -2033.6540, 387.3749,-4594.6070, -2894.0140, -8641.1950
-1.6270, -29.4209, -708164.0000,-220.9171, -2026.2540, 382.6398,-4595.9350, -2865.4440, -8643.6950
-0.2454, -31.7129, -721062.4000,-218.2249, -2014.1130, 377.9767,-4598.9380, -2831.1660, -8649.3440
0.2835, -27.3244, -733999.9000,-215.4086, -1998.5440, 373.0987,-4602.3060, -2791.8220, -8655.6760
1.8858, -26.0525, -746999.9000,-212.7691, -1980.7060, 368.5268,-4604.7410, -2748.2500, -8660.2560
0.5808, -25.9547, -760039.0000,-210.1230, -1962.2580, 363.9437,-4605.5950, -2701.3960, -8661.8600
3.2103, -27.5018, -773132.8000,-207.6801, -1944.0200, 359.7124,-4604.2120, -2652.2570, -8659.2600
0.8500, -24.7071, -786281.2000,-205.4058, -1927.4870, 355.7733,-4600.3430, -2600.6720, -8651.9830
-0.5304, -27.8271, -799480.4000,-203.1821, -1913.4540, 351.9218,-4593.6070, -2547.7330, -8639.3160
-2.7124, -25.2016, -812734.3000,-201.1393, -1902.7600, 348.3836,-4584.2680, -2493.6320, -8621.7510
